Date,Open,High,Low,Close,AdjClose,Volume
20-Nov-25,195.95,196,179.85,180.64,180.64,"337,889,104"
19-Nov-25,184.79,187.86,182.83,186.52,186.52,"247,246,400"
18-Nov-25,183.38,184.8,179.65,181.36,181.36,"213,598,900"
17-Nov-25,185.97,189,184.32,186.6,186.6,"173,628,900"
14-Nov-25,182.86,191.01,180.58,190.17,190.17,"186,591,900"
13-Nov-25,191.05,191.44,183.85,186.86,186.86,"207,423,100"
12-Nov-25,195.72,195.89,191.13,193.8,193.8,"154,935,300"
11-Nov-25,195.16,195.42,191.3,193.16,193.16,"176,483,300"
10-Nov-25,195.11,199.94,193.79,199.05,199.05,"198,897,100"
7-Nov-25,184.9,188.32,178.91,188.15,188.15,"264,942,300"
6-Nov-25,196.42,197.62,186.38,188.08,188.08,"223,029,800"
5-Nov-25,198.77,202.92,194.65,195.21,195.21,"171,350,300"
4-Nov-25,203,203.97,197.93,198.69,198.69,"188,919,300"
3-Nov-25,208.08,211.34,205.56,206.88,206.88,"180,267,300"
31-Oct-25,206.45,207.97,202.07,202.49,202.49,"179,802,200"
30-Oct-25,205.15,206.16,201.41,202.89,202.89,"178,864,400"
29-Oct-25,207.98,212.19,204.78,207.04,207.04,"308,829,600"
28-Oct-25,193.05,203.15,191.91,201.03,201.03,"297,986,200"
27-Oct-25,189.99,192,188.43,191.49,191.49,"153,452,700"
24-Oct-25,183.84,187.47,183.5,186.26,186.26,"131,296,700"
23-Oct-25,180.42,183.03,179.79,182.16,182.16,"111,363,700"
22-Oct-25,181.14,183.44,176.76,180.28,180.28,"162,249,600"
21-Oct-25,182.79,182.79,179.8,181.16,181.16,"124,240,200"
20-Oct-25,183.13,185.2,181.73,182.64,182.64,"128,544,700"
17-Oct-25,180.18,184.1,179.75,183.22,183.22,"173,135,200"
16-Oct-25,182.23,183.28,179.77,181.81,181.81,"179,723,300"
15-Oct-25,184.8,184.87,177.29,179.83,179.83,"214,450,500"
14-Oct-25,184.77,184.8,179.7,180.03,180.03,"205,641,400"
13-Oct-25,187.97,190.11,185.96,188.32,188.32,"153,482,800"
10-Oct-25,193.51,195.62,182.05,183.16,183.16,"268,774,400"
9-Oct-25,192.23,195.3,191.06,192.57,192.57,"182,997,200"
8-Oct-25,186.57,189.6,186.54,189.11,189.11,"130,168,900"
7-Oct-25,186.23,189.06,184,185.04,185.04,"140,088,000"
6-Oct-25,185.5,187.23,183.33,185.54,185.54,"157,678,100"
3-Oct-25,189.19,190.36,185.38,187.62,187.62,"137,596,900"
2-Oct-25,189.6,191.05,188.06,188.89,188.89,"136,805,800"
1-Oct-25,185.24,188.14,183.9,187.24,187.24,"173,844,900"
30-Sep-25,182.08,187.35,181.48,186.58,186.58,"236,981,000"
29-Sep-25,180.43,184,180.32,181.85,181.85,"193,063,500"
26-Sep-25,178.17,179.77,174.93,178.19,178.19,"148,573,700"
25-Sep-25,174.48,180.26,173.13,177.69,177.69,"191,586,700"
24-Sep-25,179.77,179.78,175.4,176.97,176.97,"143,564,100"
23-Sep-25,181.97,182.42,176.21,178.43,178.43,"192,559,600"
22-Sep-25,175.3,184.55,174.71,183.61,183.61,"269,637,000"
19-Sep-25,175.77,178.08,175.18,176.67,176.67,"237,182,100"
18-Sep-25,173.98,177.1,172.96,176.24,176.24,"191,763,300"
17-Sep-25,172.64,173.2,168.41,170.29,170.29,"211,843,800"
16-Sep-25,177,177.5,174.38,174.88,174.88,"140,737,800"
15-Sep-25,175.67,178.85,174.51,177.75,177.75,"147,061,600"
12-Sep-25,177.77,178.6,176.45,177.82,177.82,"124,911,000"
11-Sep-25,179.68,180.28,176.48,177.17,177.17,"151,159,300"
10-Sep-25,176.64,179.29,175.47,177.33,177.32,"226,852,000"
9-Sep-25,169.09,170.98,166.74,170.76,170.75,"157,548,400"
8-Sep-25,167.55,170.96,167.35,168.31,168.3,"163,769,100"
5-Sep-25,168.03,169.03,164.07,167.02,167.01,"224,441,400"
4-Sep-25,170.57,171.86,169.41,171.66,171.65,"141,670,100"
3-Sep-25,171.06,172.41,168.88,170.62,170.61,"164,424,900"
2-Sep-25,170,172.38,167.22,170.78,170.77,"231,164,900"
29-Aug-25,178.11,178.15,173.15,174.18,174.17,"243,257,900"
28-Aug-25,180.82,184.47,176.41,180.17,180.16,"281,787,800"
27-Aug-25,181.98,182.49,179.1,181.6,181.59,"235,518,900"
26-Aug-25,180.06,182.39,178.81,181.77,181.76,"168,688,200"
25-Aug-25,178.35,181.91,176.57,179.81,179.8,"163,012,800"
22-Aug-25,172.61,178.59,171.2,177.99,177.98,"172,789,400"
21-Aug-25,174.85,176.9,173.81,174.98,174.97,"140,040,900"
20-Aug-25,175.17,176,168.8,175.4,175.39,"215,142,700"
19-Aug-25,182.43,182.5,175.49,175.64,175.63,"185,229,200"
18-Aug-25,180.6,182.94,180.59,182.01,182,"132,008,000"
15-Aug-25,181.88,181.9,178.04,180.45,180.44,"156,602,200"
14-Aug-25,179.75,183.02,179.46,182.02,182.01,"129,554,000"
13-Aug-25,182.62,183.97,179.35,181.59,181.58,"179,871,700"
12-Aug-25,182.96,184.48,179.46,183.16,183.15,"145,485,700"
11-Aug-25,182.05,183.84,180.25,182.06,182.05,"138,323,200"
8-Aug-25,181.55,183.3,180.4,182.7,182.69,"123,396,700"
7-Aug-25,181.57,183.88,178.8,180.77,180.76,"151,878,400"
6-Aug-25,176.33,179.9,176.25,179.42,179.41,"137,192,300"
5-Aug-25,179.62,180.26,175.9,178.26,178.25,"156,407,600"
4-Aug-25,175.16,180.2,174.52,180,179.99,"148,174,600"
1-Aug-25,174.09,176.54,170.89,173.72,173.71,"204,529,000"
